repo	old_path	file_type	current_role	classification	proposed_action	target_path	unique_content_summary	absorbed_by	archive_destination	delete_allowed	reason	validation_note
api	NEW:DOCS.2	md	canonical API documentation entry point	canonical_root_doc	create_canonical_target	Documentation/INDEX.md	Created during DOCS.2 as canonical API documentation entry point.	Documentation/INDEX.md		no	Required by frozen DOCS.2 target tree or reset evidence output.	Generated after audited absorption; no deletion involved.
api	NEW:DOCS.2	md	canonical API documentation entry point	canonical_root_doc	create_canonical_target	Documentation/README.md	Created during DOCS.2 as canonical API documentation entry point.	Documentation/README.md		no	Required by frozen DOCS.2 target tree or reset evidence output.	Generated after audited absorption; no deletion involved.
api	NEW:DOCS.2	md	canonical API architecture documentation	canonical_architecture_doc	create_canonical_target	Documentation/architecture/README.md	Created during DOCS.2 as canonical API architecture documentation.	Documentation/architecture/README.md		no	Required by frozen DOCS.2 target tree or reset evidence output.	Generated after audited absorption; no deletion involved.
api	NEW:DOCS.2	md	canonical API architecture documentation	canonical_architecture_doc	create_canonical_target	Documentation/architecture/api-source-of-truth.md	Created during DOCS.2 as canonical API architecture documentation.	Documentation/architecture/api-source-of-truth.md		no	Required by frozen DOCS.2 target tree or reset evidence output.	Generated after audited absorption; no deletion involved.
api	NEW:DOCS.2	md	canonical API architecture documentation	canonical_architecture_doc	create_canonical_target	Documentation/architecture/client-projection-boundary.md	Created during DOCS.2 as canonical API architecture documentation.	Documentation/architecture/client-projection-boundary.md		no	Required by frozen DOCS.2 target tree or reset evidence output.	Generated after audited absorption; no deletion involved.
api	NEW:DOCS.2	md	canonical API architecture documentation	canonical_architecture_doc	create_canonical_target	Documentation/architecture/envelope-error-stream-model.md	Created during DOCS.2 as canonical API architecture documentation.	Documentation/architecture/envelope-error-stream-model.md		no	Required by frozen DOCS.2 target tree or reset evidence output.	Generated after audited absorption; no deletion involved.
api	NEW:DOCS.2	md	canonical API architecture documentation	canonical_architecture_doc	create_canonical_target	Documentation/architecture/operation-model.md	Created during DOCS.2 as canonical API architecture documentation.	Documentation/architecture/operation-model.md		no	Required by frozen DOCS.2 target tree or reset evidence output.	Generated after audited absorption; no deletion involved.
api	NEW:DOCS.2	md	canonical API architecture documentation	canonical_architecture_doc	create_canonical_target	Documentation/architecture/overview.md	Created during DOCS.2 as canonical API architecture documentation.	Documentation/architecture/overview.md		no	Required by frozen DOCS.2 target tree or reset evidence output.	Generated after audited absorption; no deletion involved.
api	NEW:DOCS.2	md	canonical API architecture documentation	canonical_architecture_doc	create_canonical_target	Documentation/architecture/protocol-api-boundary.md	Created during DOCS.2 as canonical API architecture documentation.	Documentation/architecture/protocol-api-boundary.md		no	Required by frozen DOCS.2 target tree or reset evidence output.	Generated after audited absorption; no deletion involved.
api	NEW:DOCS.2	md	canonical API architecture documentation	canonical_architecture_doc	create_canonical_target	Documentation/architecture/runtime-implementation-boundary.md	Created during DOCS.2 as canonical API architecture documentation.	Documentation/architecture/runtime-implementation-boundary.md		no	Required by frozen DOCS.2 target tree or reset evidence output.	Generated after audited absorption; no deletion involved.
api	NEW:DOCS.2	md	canonical API architecture documentation	canonical_architecture_doc	create_canonical_target	Documentation/architecture/transport-model.md	Created during DOCS.2 as canonical API architecture documentation.	Documentation/architecture/transport-model.md		no	Required by frozen DOCS.2 target tree or reset evidence output.	Generated after audited absorption; no deletion involved.
