repo	old_path	file_type	current_role	classification	proposed_action	target_path	unique_content_summary	absorbed_by	archive_destination	delete_allowed	reason	validation_note
sdk	NEW:DOCS.3	md	canonical SDK documentation entry point	canonical_root_doc	create_canonical_target	Documentation/INDEX.md	Created during DOCS.3 as canonical SDK documentation entry point.	Documentation/INDEX.md		no	Required by frozen DOCS.3 target tree or reset evidence output.	Generated after audited absorption; no deletion involved.
sdk	NEW:DOCS.3	md	canonical SDK documentation entry point	canonical_root_doc	create_canonical_target	Documentation/README.md	Created during DOCS.3 as canonical SDK documentation entry point.	Documentation/README.md		no	Required by frozen DOCS.3 target tree or reset evidence output.	Generated after audited absorption; no deletion involved.
sdk	NEW:DOCS.3	md	canonical SDK architecture documentation	canonical_architecture_doc	create_canonical_target	Documentation/architecture/README.md	Created during DOCS.3 as canonical SDK architecture documentation.	Documentation/architecture/README.md		no	Required by frozen DOCS.3 target tree or reset evidence output.	Generated after audited absorption; no deletion involved.
sdk	NEW:DOCS.3	md	canonical SDK architecture documentation	canonical_architecture_doc	create_canonical_target	Documentation/architecture/api-consumption-model.md	Created during DOCS.3 as canonical SDK architecture documentation.	Documentation/architecture/api-consumption-model.md		no	Required by frozen DOCS.3 target tree or reset evidence output.	Generated after audited absorption; no deletion involved.
sdk	NEW:DOCS.3	md	canonical SDK architecture documentation	canonical_architecture_doc	create_canonical_target	Documentation/architecture/generation-boundary.md	Created during DOCS.3 as canonical SDK architecture documentation.	Documentation/architecture/generation-boundary.md		no	Required by frozen DOCS.3 target tree or reset evidence output.	Generated after audited absorption; no deletion involved.
sdk	NEW:DOCS.3	md	canonical SDK architecture documentation	canonical_architecture_doc	create_canonical_target	Documentation/architecture/overview.md	Created during DOCS.3 as canonical SDK architecture documentation.	Documentation/architecture/overview.md		no	Required by frozen DOCS.3 target tree or reset evidence output.	Generated after audited absorption; no deletion involved.
sdk	NEW:DOCS.3	md	canonical SDK architecture documentation	canonical_architecture_doc	create_canonical_target	Documentation/architecture/package-taxonomy.md	Created during DOCS.3 as canonical SDK architecture documentation.	Documentation/architecture/package-taxonomy.md		no	Required by frozen DOCS.3 target tree or reset evidence output.	Generated after audited absorption; no deletion involved.
sdk	NEW:DOCS.3	md	canonical SDK architecture documentation	canonical_architecture_doc	create_canonical_target	Documentation/architecture/runtime-resolution-model.md	Created during DOCS.3 as canonical SDK architecture documentation.	Documentation/architecture/runtime-resolution-model.md		no	Required by frozen DOCS.3 target tree or reset evidence output.	Generated after audited absorption; no deletion involved.
sdk	NEW:DOCS.3	md	canonical SDK architecture documentation	canonical_architecture_doc	create_canonical_target	Documentation/architecture/sdk-architecture.md	Created during DOCS.3 as canonical SDK architecture documentation.	Documentation/architecture/sdk-architecture.md		no	Required by frozen DOCS.3 target tree or reset evidence output.	Generated after audited absorption; no deletion involved.
sdk	NEW:DOCS.3	md	canonical SDK architecture documentation	canonical_architecture_doc	create_canonical_target	Documentation/architecture/transport-consumption-model.md	Created during DOCS.3 as canonical SDK architecture documentation.	Documentation/architecture/transport-consumption-model.md		no	Required by frozen DOCS.3 target tree or reset evidence output.	Generated after audited absorption; no deletion involved.
sdk	NEW:DOCS.3	md	archive manifest or archive entry documentation	archive_manifest_or_entry	create_canonical_target	Documentation/archive/README.md	Created during DOCS.3 as archive manifest or archive entry documentation.	Documentation/archive/README.md		no	Required by frozen DOCS.3 target tree or reset evidence output.	Generated after audited absorption; no deletion involved.
sdk	NEW:DOCS.3	md	archive manifest or archive entry documentation	archive_manifest_or_entry	create_canonical_target	Documentation/archive/historical-manifest.md	Created during DOCS.3 as archive manifest or archive entry documentation.	Documentation/archive/historical-manifest.md		no	Required by frozen DOCS.3 target tree or reset evidence output.	Generated after audited absorption; no deletion involved.
sdk	Documentation/legacy/README.from-yai-sdk.md	md	legacy SDK source material	legacy_sdk_material	archive_after_absorption	Documentation/archive/legacy-sdk/	Inspected document "yai-sdk" covering SDK Authority (Wave 14B).	Documentation/archive/legacy-sdk/	Documentation/archive/legacy-sdk/README.from-yai-sdk.md	no	Legacy SDK material was absorbed into canonical SDK docs and archived.	Content inspected by title, headings, and body before classification; no deletion selected.
sdk	Documentation/legacy/README.md	md	legacy SDK source material	legacy_sdk_material	archive_after_absorption	Documentation/archive/legacy-sdk/	Inspected document "Legacy Docs".	Documentation/archive/legacy-sdk/	Documentation/archive/legacy-sdk/README.md	no	Legacy SDK material was absorbed into canonical SDK docs and archived.	Content inspected by title, headings, and body before classification; no deletion selected.
